Agent Name,Latitude,longitude
Afsana And Aska Enterprise,22.79184,89.87692
New Refrigeration,22.46764,89.66756
M/S Jouty Enterprise,22.53288,89.59026
Bhai Bhai Telecom,22.57244,89.95683
Sabinoy Telecom,22.57244,89.95683
Md Forid Telecom,22.57911,89.68475
M/S Mohammodia Vandar,22.53288,89.59026
Vai Vai Store,22.72263,89.74719
Maliha Telecom,22.57244,89.95683
Farhan Telecom,22.79148,89.87604
Ma Telecom,22.46946,89.60176
Monir Store-2,22.26376,89.8299
Hafizul Store,22.46764,89.66756
SONAR BANGLA ELECTRONICS,22.6579,89.77002
Tania Telecom,22.58227,89.66661
TAJ TELECOM,22.77442,89.71553
Shoaib Telecom And Medical Hall,22.31333,89.84862
M/S NAIM STORE,22.31333,89.84862
Anik Digital,22.69637,89.75962
SHAHADAT STORE,22.57244,89.95683
M/S Nafiz Telecom,22.79148,89.87604
M/S YESHA STORE,22.26376,89.8299
Alif Telecom,22.69637,89.75962
M/S Amena Store,22.57244,89.95683
Grameen Sanitation And Mudi Dokan,22.79184,89.87692
Hasibul Telecom,22.69637,89.75962
Moriom Telecom,22.58227,89.66661
Rozina Store,22.5262,89.65318
Samia Store,22.6579,89.77002
Taposh Store,22.31333,89.84862
SREE GURU PHARMACY,22.31333,89.84862
Ohid Enterprise,22.88987,89.77417
Megha Dipertmental Store,22.6579,89.77002
ONI TELECOM,22.77442,89.71553
Tasmin Telecom,22.31333,89.84862
M/S KUNDU STORE,22.69637,89.75962
Molla Store,22.88987,89.77417
Imran Store,22.53495,89.86802
Mowlana Telecom,22.79184,89.87692
Dona Pharmacy,22.70262,89.84244
HASIB MOBILE TELECOM,22.77442,89.71553
Lotif Enterprise,22.31333,89.84862
Ma Telecom,22.35144,89.81963
MA MONI TAILORS,22.31219,89.85099
M/S Kazi Enterprise,22.45358,89.85153
Ali Store,22.53495,89.86802
Satota Store,22.58227,89.66661
AMAN TELECOM AND VARIETIES STORE,22.79184,89.87692
Suprova Polli Phone,22.77442,89.71553
Sharmin Store,22.6579,89.77002
M/S Aat Bhai Telecom,22.31333,89.84862
AL AMIN STORE,22.57244,89.95683
Modern Decorator Lighting Sound And Telecom,22.58227,89.66661
RIAD TELECOM,26.79803,80.92619
WALIAR STORE,22.29992,89.84794
KAZI ENTERPRISE,22.79184,89.87692
NURJAHAN TELECOM,22.79184,89.87692
MAA MEDICAL HALL,22.69637,89.75962
Rana Telecom,22.69637,89.75962
Samrat Store,22.6579,89.77002
M/S Driste Interprice,22.47071,89.60319
RESAN MOBILE SERVICING AND FLEXILOAD,22.29992,89.84794
MA TELECOM,22.70262,89.84244
M/S JAHID MEDICAL HALL AND LIBRARY HOUSE,22.57244,89.95683
Shorna Telecom,22.69637,89.75962
Banasree Cosmetics,22.6579,89.77002
HALDER TELECOM,22.57244,89.95683
METALI ELECTRONICS,22.29992,89.84794
Kabir Telecom,22.58227,89.66661
Maa Pharmacy,22.6579,89.77002
Nahid Telecom,22.6579,89.77002
M/S Mirajul General Store,22.57244,89.95683
Baitush Sharaf Departmental Store,22.69637,89.75962
Annie Telecom And Medical,22.88987,89.77417
Digital Center,22.6579,89.77002
Animesh Cosmetics,22.31333,89.84862
SAGAR STORE,22.6579,89.77002
M/S Keya Enterprise,22.79184,89.87692
Aziar Store,22.53495,89.86802
Pritom Telecom,22.77442,89.71553
M/S Tasnuba Telecom,22.47191,89.60435
Pulak Enterprise,22.79184,89.87692
GAZI STORE,22.47071,89.60319
KHANJAHAN ALI TELECOM,22.67147,89.76037
MILON TELECOM,22.69637,89.75962
Shake Pharmacy,22.79184,89.87692
Maa Telecom And Varieties Store,22.57244,89.95683
Borothers Telecom,22.6579,89.77002
KALAM STORE,22.57244,89.95683
LIMON TELECOM,22.69637,89.75962
Jakir Flexi-2,22.47071,89.60319
Madina Telecom,22.53288,89.59026
M/S Kobir Store,22.47071,89.60319
Bismillah Store,22.57244,89.95683
ROY HARDWARE,22.6579,89.77002
PARTHO SAROTHI ENTERPRISE,22.69637,89.75962
M/S RANA TELECOM AND ELECTRONICS,22.47071,89.60319
Munsi Computer And Photostat,22.79148,89.87604
JOBAER TELECOM,22.5262,89.65318
S M Enterprise,22.6579,89.77002
